                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5179,                 5.1569,                 1.1122,                0.39508,                0.06818,                0.05918,                0.03204,                  2.584,                 5.4528,                 2.0408,             0.00066319,             0.00066319,             0.00066319
                      2,                 1.7938,                 2.3022,                 1.2642,                0.16684,                0.21212,                0.04425,                0.02409,                 2.0316,                 20.493,                  2.357,              0.0013167,              0.0013167,              0.0013167
                      3,                 2.0395,                 7.7644,                  1.379,                0.52875,                0.55303,                0.51155,                0.21635,                 1.8822,                 15.348,                 1.4585,               0.001957,               0.001957,               0.001957
                      4,                 1.8419,                 1.8734,                 1.2525,                0.55474,                0.49242,                0.46505,                0.23762,                 2.0072,                 2.5773,                 1.4693,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6951,                 1.6548,                 1.2627,                0.70386,                0.39394,                0.46956,                0.22451,                 2.0978,                 2.1302,                 1.4853,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6893,                 1.4753,                 1.1934,                0.70289,                0.57576,                0.65152,                 0.3611,                   1.69,                 3.0245,                 1.2751,               0.001901,               0.001901,               0.001901
                      7,                 1.6751,                 1.5964,                 1.1794,                0.81925,                0.43939,                0.52462,                0.26003,                 1.8554,                 1.7888,                 1.3429,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7416,                 1.5338,                 1.1665,                0.71228,                0.59848,                0.63567,                0.34483,                 1.6341,                 1.3112,                 1.2261,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.621,                 1.4083,                 1.1778,                0.59337,                 0.4697,                0.42153,                0.22698,                 1.6795,                 1.8693,                 1.2564,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6665,                  1.466,                  1.209,                 0.7778,                0.45455,                0.53851,                0.31076,                 1.7004,                 2.0234,                 1.2708,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5778,                 1.3554,                 1.1026,                0.77257,                0.62121,                0.72182,                0.40198,                 1.4737,                 1.3234,                 1.1838,               0.001802,               0.001802,               0.001802
                     12,                 1.5224,                 1.2811,                 1.1197,                0.73388,                 0.5223,                0.58739,                0.32025,                 1.5021,                 1.7132,                  1.197,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5441,                 1.1883,                 1.1034,                0.76077,                    0.5,                0.59972,                0.34572,                 1.6742,                 2.1712,                 1.2715,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4789,                 1.1749,                 1.0206,                0.56236,                0.66667,                0.58705,                0.31178,                 1.5878,                 1.4317,                 1.2003,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4968,                 1.2544,                 1.1024,                0.73327,                   0.75,                0.79557,                0.42624,                  1.533,                 1.2523,                 1.1812,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6054,                 1.3451,                 1.1524,                0.73754,                0.53224,                0.58815,                0.35207,                 1.5767,                 1.7998,                 1.2257,               0.001703,               0.001703,               0.001703
                     17,                 1.4215,                 1.1848,                 1.0439,                0.78813,                0.69697,                0.76753,                 0.4537,                  1.451,                 1.3643,                 1.1574,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.316,                 1.1076,                 1.0542,                0.70823,                0.71212,                0.76759,                0.47026,                 1.3446,                 1.1247,                 1.1436,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.331,                 1.0774,                 1.0287,                 0.8055,                  0.753,                0.83669,                0.48021,                 1.4045,                 1.1085,                 1.1281,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.431,                  1.186,                 1.0723,                0.82817,                0.70455,                0.77494,                0.46342,                 1.4029,                 1.0547,                 1.1276,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3388,                 1.0931,                 1.0476,                 0.8667,                0.70455,                0.81087,                0.50618,                 1.4236,                 1.0263,                 1.1238,               0.001604,               0.001604,               0.001604
                     22,                 1.3228,                  1.215,                 1.0046,                0.83948,                0.75276,                0.85733,                0.53265,                  1.329,                 1.1188,                 1.0811,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3492,                 1.0762,                0.98496,                0.83535,                0.80718,                0.85953,                0.53761,                 1.3003,                0.91236,                 1.0734,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3536,                 1.0463,                 1.0418,                0.82711,                0.85606,                0.89796,                0.55179,                  1.269,                0.93579,                 1.0768,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3165,                0.99624,                 1.0244,                0.85788,                0.81061,                0.89877,                0.54676,                 1.3623,                0.88505,                 1.0868,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3604,                 0.9941,                 1.0306,                0.82833,                0.84072,                0.88276,                0.55743,                 1.2644,                0.84572,                 1.0936,               0.001505,               0.001505,               0.001505
                     27,                 1.3269,                0.98517,                 1.0365,                0.86125,                0.79944,                0.87402,                0.54101,                 1.3058,                0.91847,                 1.0908,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2038,                0.95427,                0.97189,                0.87604,                0.71212,                 0.8024,                0.53113,                 1.1887,                0.91119,                  1.045,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2834,                 1.0048,                 1.0345,                0.85719,                0.77303,                0.88662,                0.56458,                  1.209,                 0.8554,                 1.0336,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1619,                 0.9011,                0.93923,                0.89785,                 0.7991,                0.89145,                0.59318,                 1.2641,                0.89023,                 1.0675,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1721,                0.82754,                0.98786,                0.90022,                0.82576,                0.91497,                0.59398,                 1.1744,                0.76406,                 1.0332,               0.001406,               0.001406,               0.001406
                     32,                 1.2748,                0.87378,                0.98524,                0.88194,                0.86364,                0.92457,                0.54594,                  1.299,                0.82424,                 1.0603,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2954,                0.96859,                 1.0092,                0.88111,                0.83333,                0.90178,                0.58468,                  1.242,                0.81111,                 1.0576,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2599,                0.91458,                0.98948,                0.82768,                0.83695,                0.89164,                0.58658,                  1.207,                0.85064,                 1.0553,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1038,                 0.7973,                0.89917,                0.93836,                0.79545,                0.89259,                0.56873,                  1.194,                0.84147,                 1.0438,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2326,                0.85692,                 1.0093,                0.93163,                0.82577,                 0.9238,                0.61074,                 1.1939,                0.79226,                 1.0416,               0.001307,               0.001307,               0.001307
                     37,                  1.173,                0.82472,                0.97706,                0.91609,                0.86364,                0.93038,                 0.6081,                 1.1709,                0.75893,                 1.0413,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1126,                0.74218,                0.93037,                0.91316,                0.81818,                0.90707,                0.60978,                 1.1217,                0.87063,                0.99572,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1305,                0.77178,                0.92142,                0.90983,                 0.8409,                0.90826,                0.62275,                 1.1373,                0.75083,                  1.017,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1093,                0.74855,                0.92114,                0.90861,                0.84848,                0.91759,                0.60615,                 1.1513,                0.79533,                 1.0218,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1371,                0.77489,                0.93917,                0.93193,                0.73485,                0.90182,                0.59453,                 1.2189,                0.74815,                 1.0858,               0.001208,               0.001208,               0.001208
                     42,                 1.1239,                0.74944,                0.94196,                 0.8927,                0.81936,                0.85054,                0.56726,                 1.1413,                0.92345,                 1.0498,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0988,                0.76461,                0.88067,                0.87496,                0.83333,                0.91486,                0.59435,                 1.1756,                 0.9323,                 1.0431,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1296,                0.74857,                 0.9606,                0.95302,                0.83333,                0.93989,                0.62318,                 1.1531,                0.68406,                 1.0303,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0657,                0.71539,                0.90834,                0.87164,                0.93939,                0.94965,                0.63936,                 1.0907,                0.68331,                0.99021,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0908,                0.68785,                 0.9116,                0.87943,                0.91667,                0.93621,                0.61079,                 1.1579,                0.75034,                 1.0187,               0.001109,               0.001109,               0.001109
                     47,                 1.1239,                0.75518,                0.95568,                0.90678,                0.88427,                0.93826,                0.62249,                 1.1383,                0.74826,                 1.0181,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0927,                0.85836,                 0.9193,                0.96646,                0.87323,                 0.9441,                 0.6251,                 1.1378,                0.67952,                 1.0407,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0607,                0.67711,                 0.9118,                0.91431,                0.88915,                0.94927,                0.65086,                 1.0715,                0.68348,                0.98682,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0137,                  0.724,                0.91991,                0.94217,                0.86405,                0.94443,                0.64095,                 1.0721,                 0.6754,                0.99423,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0956,                0.72744,                 0.9379,                0.90352,                0.92229,                0.95101,                0.64084,                  1.105,                0.75009,                0.99841,                0.00101,                0.00101,                0.00101
                     52,                0.99166,                0.63504,                0.87286,                 0.9386,                0.87121,                 0.9412,                0.63582,                 1.1251,                0.65728,                 1.0036,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0389,                0.68571,                0.91644,                 0.8859,                0.86364,                0.92381,                0.62509,                 1.1495,                0.75726,                 1.0475,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0109,                0.66356,                 0.9093,                0.90777,                0.88636,                 0.9296,                 0.6278,                 1.1061,                0.61546,                 1.0102,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0169,                0.64675,                0.92003,                0.88373,                0.93182,                0.94644,                0.66342,                 1.0443,                0.67463,                0.99227,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1381,                0.68899,                0.91849,                0.91814,                0.87879,                0.93894,                0.66288,                 1.0683,                0.62762,                 0.9946,               0.000911,               0.000911,               0.000911
                     57,                 1.0834,                0.70944,                0.88914,                0.92945,                0.89394,                0.95273,                 0.6452,                 1.0647,                0.59643,                0.98852,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9787,                0.69843,                0.87725,                0.94825,                0.83293,                0.93441,                0.64245,                 1.1023,                0.67829,                 1.0072,              0.0008714,              0.0008714,              0.0008714
                     59,                0.99438,                0.60406,                0.91042,                 0.9511,                0.88414,                0.95407,                0.63845,                 1.0689,                 0.6433,                0.99044,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1061,                0.64508,                0.93188,                 0.9736,                0.83803,                0.92443,                0.61394,                 1.1071,                0.62403,                 1.0174,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95837,                0.73613,                0.87904,                0.88988,                0.89394,                0.92837,                 0.6094,                 1.1534,                0.63958,                 1.0187,               0.000812,               0.000812,               0.000812
